Файл: 1-4_kursy_s_21_09-26_09_2026.pdf
Всего слов: 373
Размер страницы: 595.5 x 841.9

     x0      x1     top     bot | text
   45.1    73.8   572.6   577.6 | 8:30-10:00
  326.9   355.5   572.6   577.6 | 8:30-10:00
  148.8   190.1   575.7   583.7 | Тетенькин
  193.2   209.6   575.7   583.7 | Д.А.
  426.9   476.1   575.7   583.7 | Деветьярова
  478.8   494.9   575.7   583.7 | Е.А.
  141.6   195.8   584.6   592.6 | Иностранный
  198.7   217.0   584.6   592.6 | язык
  433.9   488.3   584.6   592.6 | Информатика
   83.5    87.5   588.7   596.7 | 2
  275.5   283.8   588.9   596.9 | 84
  365.3   369.3   588.7   596.7 | 2
  557.8   565.6   588.9   596.9 | 13
   43.5    75.5   590.3   595.3 | 10:30-12:00
  325.4   357.2   590.3   595.3 | 10:30-12:00
  150.7   187.9   593.5   601.5 | Кусакина
  191.1   207.8   593.5   601.5 | О.В,
  430.5   471.8   593.5   601.5 | Тетенькин
  474.9   491.5   593.5   601.5 | Д.А.
   23.2    32.2   596.5   618.9 | 90.52
  304.7   313.7   596.5   618.9 | 90.52
  166.1   192.1   602.4   610.4 | Химия
  423.4   477.8   602.4   610.4 | Иностранный
  480.7   498.8   602.4   610.4 | язык
   83.5    87.5   606.4   614.4 | 3
  277.7   281.7   606.7   614.7 | 7
  365.3   369.3   606.4   614.4 | 3
  557.3   565.6   606.7   614.7 | 88
   43.5    75.5   608.1   613.1 | 12:10-13:40
  325.4   357.2   608.1   613.1 | 12:10-13:40
  148.6   189.8   611.2   619.2 | Степанова
  192.7   209.8   611.2   619.2 | И.И.
  432.5   469.8   611.2   619.2 | Кусакина
  472.8   489.6   611.2   619.2 | О.В,
   23.2    32.2   622.0   660.0 | ацинтяП
  304.7   313.7   622.0   660.0 | ацинтяП
   83.3    87.3   624.2   632.2 | 4
  365.1   369.1   624.2   632.2 | 4
   43.5    75.5   625.8   630.8 | 13:50-15:20
  325.4   357.2   625.8   630.8 | 13:50-15:20
   83.5    87.5   642.0   650.0 | 5
  365.3   369.3   642.0   650.0 | 5
   43.5    75.5   643.6   648.6 | 15:50-17:20
  325.4   357.2   643.6   648.6 | 15:50-17:20
   43.5    75.5   661.4   666.4 | 17:30-19:00
   83.5    87.5   659.7   667.7 | 6
  325.4   357.2   661.4   666.4 | 17:30-19:00
  365.3   369.3   659.7   667.7 | 6
   43.5    75.5   679.1   684.1 | 19:10-20:40
   83.5    87.5   677.5   685.5 | 7
  325.4   357.2   679.1   684.1 | 19:10-20:40
  365.3   369.3   677.5   685.5 | 7
   46.8    71.8   696.9   701.9 | 8:30-9:30
   83.8    87.8   695.2   703.2 | 1
  328.6   353.7   696.9   701.9 | 8:30-9:30
  365.5   369.5   695.2   703.2 | 1
   44.9    73.6   714.6   719.6 | 9:45-10:45
   83.5    87.5   713.0   721.0 | 2
  326.6   355.3   714.6   719.6 | 9:45-10:45
  365.3   369.3   713.0   721.0 | 2
   23.2    32.2   721.3   743.7 | 90.62
  304.7   313.7   721.3   743.7 | 90.62
   43.5    75.3   732.4   737.4 | 10:55-11:55
   83.5    87.5   730.8   738.8 | 3
  325.4   357.1   732.4   737.4 | 10:55-11:55
  365.3   369.3   730.8   738.8 | 3
   23.2    32.2   746.7   783.3 | атоббуС
  304.7   313.7   746.7   783.3 | атоббуС
   43.5    75.3   750.2   755.2 | 12:05-13:05
   83.3    87.3   748.5   756.5 | 4
  325.4   357.1   750.2   755.2 | 12:05-13:05
  365.1   369.1   748.5   756.5 | 4
   83.5    87.5   766.3   774.3 | 5
  365.3   369.3   766.3   774.3 | 5
   43.5    75.5   767.9   772.9 | 13:20-14:20
  325.4   357.2   767.9   772.9 | 13:20-14:20
   83.5    87.5   784.0   792.0 | 6
  365.3   369.3   784.0   792.0 | 6
   43.5    75.5   785.7   790.7 | 14:30-15:30
  325.4   357.2   785.7   790.7 | 14:30-15:30
   83.5    87.5   801.8   809.8 | 7
  365.3   369.3   801.8   809.8 | 7
   43.5    75.5   803.4   808.4 | 15:40-16:40
  325.4   357.2   803.4   808.4 | 15:40-16:40
